代码,名称,板块,今日涨幅(%),3日涨幅(%),5日涨幅(%),回踩天数,今日量/爆发量,爆发日强度,今日成交额(亿)
688312,燕麦科技,专用设备,-0.39,-1.73,6.43,4 天,26.8% (预估 53.6%),放量 1.9倍,2.73
300828,锐新科技,通用设备,-1.5,-5.92,-2.45,3 天,27.0% (预估 53.9%),放量 2.3倍,0.74
605168,三人行,广告营销,-0.11,4.1,13.92,2 天,27.2% (预估 54.4%),放量 2.9倍,2.72
300911,亿田智能,厨卫电器,-2.68,5.69,1.26,1 天,28.0% (预估 56.1%),放量 1.9倍,0.84
600893,航发动力,航空装备Ⅱ,-2.95,0.26,-0.94,2 天,28.1% (预估 56.1%),放量 1.6倍,6.12
688277,天智航-U,医疗器械,-1.04,0.42,-0.16,4 天,28.2% (预估 56.4%),放量 2.0倍,0.82
300340,科恒股份,电池,-5.91,4.37,-2.05,2 天,28.2% (预估 56.5%),放量 3.6倍,0.68
300626,华瑞股份,电机Ⅱ,-1.71,-3.4,3.81,4 天,28.6% (预估 57.2%),放量 1.5倍,2.51
002443,金洲管道,特钢Ⅱ,-3.95,-4.53,-6.41,5 天,28.7% (预估 57.3%),放量 1.6倍,1.46
688515,裕太微-U,半导体,-1.93,7.87,30.44,2 天,28.8% (预估 57.6%),放量 2.4倍,7.79
603077,和邦生物,农化制品,-1.24,3.02,-2.45,2 天,28.9% (预估 57.8%),放量 2.6倍,2.56
002734,利民股份,农化制品,-1.26,4.2,15.07,3 天,29.1% (预估 58.3%),放量 3.6倍,2.41
301070,开勒股份,通用设备,-2.38,-2.79,-1.11,3 天,29.2% (预估 58.3%),放量 1.6倍,1.44
300656,民德电子,其他电子Ⅱ,-2.33,1.37,-1.77,5 天,29.4% (预估 58.7%),放量 2.3倍,1.99
688484,南芯科技,半导体,-0.99,-0.86,1.04,5 天,29.5% (预估 58.9%),放量 3.6倍,5.74
300692,中赋科技,环境治理,-4.0,1.32,-0.26,1 天,29.6% (预估 59.2%),放量 2.8倍,0.6
603260,合盛硅业,化学制品,-1.49,-1.74,-6.8,5 天,29.7% (预估 59.4%),放量 4.5倍,7.31
000712,锦龙股份,证券Ⅱ,-4.45,1.76,-3.35,5 天,29.8% (预估 59.5%),放量 1.5倍,1.79
600976,健民集团,中药Ⅱ,-1.45,1.1,6.82,1 天,29.9% (预估 59.7%),放量 3.3倍,0.56
002961,瑞达期货,多元金融,-2.74,2.6,-0.85,2 天,29.9% (预估 59.9%),放量 2.0倍,0.99
300570,太辰光,通信设备,-0.04,-1.56,0.43,5 天,30.1% (预估 60.1%),放量 2.3倍,31.47
300364,中文在线,数字媒体,-2.53,-0.2,5.04,3 天,30.1% (预估 60.2%),放量 1.7倍,5.24
300748,金力永磁,金属新材料,-2.84,-4.97,-4.11,5 天,30.3% (预估 60.5%),放量 2.0倍,6.09
300491,通合科技,其他电源设备Ⅱ,-2.37,0.57,11.97,2 天,30.4% (预估 60.8%),放量 1.6倍,2.13
000629,钒钛股份,冶钢原料,-0.31,0.94,-1.22,2 天,30.6% (预估 61.2%),放量 2.5倍,2.77
002708,光洋股份,汽车零部件,-1.27,-2.96,5.67,3 天,30.6% (预估 61.2%),放量 1.5倍,2.11
601628,中国人寿,保险Ⅱ,-1.33,5.93,-1.0,2 天,30.6% (预估 61.3%),放量 2.3倍,9.47
