代码,名称,板块,相关概念/板块,概念匹配说明,概念库命中数,涨跌幅(%),3日涨幅(%),5日涨幅(%),增量倍数,今日成交额(亿),常态均额(亿),逻辑标签
600809,山西汾酒,白酒Ⅱ,白酒Ⅱ,概念库未命中，回退到行业板块。,0,7.01,7.21,9.86,1.99,24.0,12.09,强势放量突破
002315,焦点科技,互联网电商,关税战概念,关税战概念同池15只/热度176.9/领涨幸福蓝海,3,6.12,0.76,1.63,1.98,2.72,1.38,强势放量突破
300199,翰宇药业,化学制药,创新药进度整理、化学制药,创新药进度整理同池26只/热度302.3/领涨阳光诺和；化学制药同池38只/热度324.8/领涨迪哲医药-U,6,6.94,-0.71,1.98,1.97,28.36,14.42,强势放量突破
300783,三只松鼠,休闲食品,复苏消费概念,复苏消费概念同池21只/热度202.4/领涨新华百货,3,4.19,4.63,6.58,1.96,1.72,0.88,趋势放量异动
688277,天智航-U,医疗器械,医疗器械,概念库未命中，回退到行业板块。,0,8.04,3.52,14.79,1.96,3.0,1.53,强势放量突破
001314,亿道信息,消费电子,MR概念、消费电子,MR概念同池3只/热度21.6/领涨豪威集团；消费电子同池3只/热度23.8/领涨光峰科技,5,5.79,1.18,6.33,1.95,7.2,3.69,强势放量突破
603336,宏辉果蔬,种植业,关税战概念,关税战概念同池15只/热度176.9/领涨幸福蓝海,1,9.96,11.55,16.28,1.93,2.67,1.38,强势放量突破
000858,五 粮 液,白酒Ⅱ,白酒Ⅱ,白酒Ⅱ同池13只/热度120.3/领涨古井贡酒,1,4.09,3.68,6.88,1.93,48.06,24.84,趋势放量异动
000990,诚志股份,化学原料,化学原料,化学原料同池4只/热度46.2/领涨江苏索普,1,4.37,9.26,14.77,1.93,6.07,3.15,趋势放量异动
601121,宝地矿业,冶钢原料,金属铜,金属铜同池1只/热度7.5/领涨宝地矿业,2,4.09,7.01,0.73,1.93,1.88,0.97,趋势放量异动
688029,南微医学,医疗器械,医疗器械,概念库未命中，回退到行业板块。,0,4.9,8.0,8.16,1.91,2.61,1.36,趋势放量异动
002062,宏润建设,基础建设,基础建设,概念库未命中，回退到行业板块。,0,10.04,0.27,3.99,1.91,2.88,1.51,强势放量突破
603456,九洲药业,医疗服务,医疗服务,医疗服务同池20只/热度254.2/领涨万邦医药,1,5.37,7.58,12.62,1.9,7.61,4.0,强势放量突破
688433,华曙高科,通用设备,通用设备,通用设备同池4只/热度59.0/领涨铂力特,1,15.0,14.28,23.28,1.9,10.15,5.34,强势放量突破
000623,吉林敖东,中药Ⅱ,创新药进度整理,创新药进度整理同池26只/热度302.3/领涨阳光诺和,2,4.3,5.78,5.42,1.9,5.13,2.7,趋势放量异动
002541,鸿路钢构,专业工程,专业工程,概念库未命中，回退到行业板块。,0,6.83,6.61,11.31,1.9,4.13,2.17,强势放量突破
000963,华东医药,化学制药,创新药进度整理、化学制药,创新药进度整理同池26只/热度302.3/领涨阳光诺和；化学制药同池38只/热度324.8/领涨迪哲医药-U,8,4.98,6.98,8.64,1.89,14.05,7.43,趋势放量异动
300601,康泰生物,生物制品,生物制品,概念库未命中，回退到行业板块。,0,3.77,6.92,11.73,1.89,3.88,2.05,趋势放量异动
300760,迈瑞医疗,医疗器械,服务消费概念、医疗器械,服务消费概念同池12只/热度93.6/领涨巨人网络；医疗器械同池13只/热度102.1/领涨基蛋生物,3,4.32,3.13,5.8,1.89,27.67,14.66,趋势放量异动
600123,兰花科创,煤炭开采,反内卷概念,反内卷概念同池7只/热度64.5/领涨首钢股份,4,5.15,11.64,9.14,1.89,2.55,1.35,强势放量突破
002304,洋河股份,白酒Ⅱ,复苏消费概念,复苏消费概念同池21只/热度202.4/领涨新华百货,1,4.23,2.69,3.87,1.89,5.03,2.67,趋势放量异动
688068,热景生物,医疗器械,医疗器械,医疗器械同池13只/热度102.1/领涨基蛋生物,3,11.15,11.83,19.01,1.88,11.52,6.12,强势放量突破
002020,京新药业,化学制药,化学制药、创新药进度整理,化学制药同池38只/热度396.6/领涨迪哲医药-U；创新药进度整理同池26只/热度302.3/领涨阳光诺和,2,3.94,6.91,8.2,1.86,7.3,3.92,趋势放量异动
688139,海尔生物,医疗器械,医疗器械,概念库未命中，回退到行业板块。,0,4.57,4.76,6.32,1.86,1.99,1.07,趋势放量异动
002291,遥望科技,广告营销,服务消费概念、字节跳动概念,服务消费概念同池12只/热度80.5/领涨巨人网络；字节跳动概念同池5只/热度56.7/领涨银信科技,5,4.26,1.24,5.6,1.86,2.07,1.11,趋势放量异动
600559,老白干酒,白酒Ⅱ,白酒Ⅱ,概念库未命中，回退到行业板块。,0,4.16,5.0,5.66,1.86,2.46,1.32,趋势放量异动
688796,百奥赛图,医疗服务,医疗服务,概念库未命中，回退到行业板块。,0,12.38,17.38,27.53,1.85,5.65,3.06,强势放量突破
603162,海通发展,航运港口,关税战概念,关税战概念同池15只/热度176.9/领涨幸福蓝海,4,4.66,11.07,22.44,1.84,5.54,3.01,趋势放量异动
002074,国轩高科,电池,反内卷概念,反内卷概念同池7只/热度60.5/领涨首钢股份,5,4.79,3.51,2.5,1.82,12.83,7.05,趋势放量异动
601339,百隆东方,纺织制造,纺织制造,概念库未命中，回退到行业板块。,0,6.42,14.19,12.79,1.8,1.89,1.05,强势放量突破
000676,智度股份,广告营销,字节跳动概念,字节跳动概念同池5只/热度56.7/领涨银信科技,5,9.92,6.0,9.07,1.79,2.71,1.52,强势放量突破
300765,新诺威,化学制药,化学制药,概念库未命中，回退到行业板块。,0,12.33,8.53,24.08,1.77,13.99,7.89,强势放量突破
688513,苑东生物,化学制药,化学制药,概念库未命中，回退到行业板块。,0,4.41,7.55,16.27,1.76,3.65,2.08,趋势放量异动
688185,康希诺,生物制品,创新药进度整理,创新药进度整理同池26只/热度302.3/领涨阳光诺和,1,4.96,3.26,7.8,1.76,1.84,1.05,趋势放量异动
600415,小商品城,一般零售,关税战概念,关税战概念同池15只/热度176.9/领涨幸福蓝海,6,5.89,2.56,4.2,1.76,10.9,6.19,强势放量突破
688278,特宝生物,生物制品,生物制品,概念库未命中，回退到行业板块。,0,5.01,4.97,7.09,1.76,3.55,2.02,强势放量突破
300003,乐普医疗,医疗器械,创新药进度整理,创新药进度整理同池26只/热度302.3/领涨阳光诺和,2,4.2,6.83,7.79,1.76,7.58,4.32,趋势放量异动
600276,恒瑞医药,化学制药,化学制药,化学制药同池38只/热度367.8/领涨迪哲医药-U,3,4.89,3.14,6.46,1.76,109.92,62.4,趋势放量异动
600488,津药药业,化学制药,化学制药,概念库未命中，回退到行业板块。,0,7.88,25.09,27.14,1.75,12.3,7.04,强势放量突破
000829,天音控股,专业连锁Ⅱ,电子烟、AI手机、专业连锁Ⅱ,电子烟同池2只/热度20.3/领涨润都股份；AI手机同池2只/热度17.1/领涨天音控股；专业连锁Ⅱ同池2只/热度14.0/领涨天音控股,2,6.83,4.54,9.66,1.74,2.81,1.62,强势放量突破
002605,姚记科技,游戏Ⅱ,服务消费概念,服务消费概念同池12只/热度93.6/领涨巨人网络,4,4.01,1.67,4.17,1.74,4.04,2.32,趋势放量异动
601963,重庆银行,银行Ⅱ,破净整理,破净整理同池4只/热度34.6/领涨首钢股份,1,3.81,8.58,7.05,1.73,2.41,1.39,趋势放量异动
603529,爱玛科技,摩托车及其他,摩托车及其他,概念库未命中，回退到行业板块。,0,4.06,2.37,3.64,1.72,1.81,1.05,趋势放量异动
688289,圣湘生物,医疗器械,关税战概念,关税战概念同池15只/热度176.9/领涨幸福蓝海,2,3.8,5.6,8.42,1.72,1.65,0.96,趋势放量异动
300957,贝泰妮,化妆品,复苏消费概念,复苏消费概念同池21只/热度202.4/领涨新华百货,4,4.74,2.43,3.41,1.71,3.31,1.93,趋势放量异动
600859,王府井,一般零售,离境退税概念、一般零售,离境退税概念同池6只/热度57.2/领涨中国中免；一般零售同池6只/热度52.6/领涨新华百货,1,3.59,3.04,3.92,1.71,2.6,1.52,趋势放量异动
002821,凯莱英,医疗服务,医疗服务,医疗服务同池20只/热度236.9/领涨万邦医药,2,10.0,18.34,30.91,1.7,42.4,24.89,强势放量突破
300599,雄塑科技,装修建材,装修建材,概念库未命中，回退到行业板块。,0,4.64,10.62,10.62,1.7,1.69,1.0,趋势放量异动
300204,舒泰神,化学制药,化学制药,概念库未命中，回退到行业板块。,0,13.68,8.47,10.57,1.7,19.24,11.31,强势放量突破
000935,四川双马,多元金融,多元金融,多元金融同池2只/热度19.1/领涨四川双马,2,10.01,5.43,2.18,1.7,3.48,2.05,强势放量突破
688062,迈威生物-U,化学制药,化学制药,概念库未命中，回退到行业板块。,0,7.67,11.01,13.14,1.69,6.54,3.86,强势放量突破
603605,珀莱雅,化妆品,复苏消费概念,复苏消费概念同池21只/热度202.4/领涨新华百货,6,4.57,3.95,3.59,1.69,4.41,2.62,趋势放量异动
300347,泰格医药,医疗服务,医疗服务,概念库未命中，回退到行业板块。,0,6.57,9.79,20.36,1.69,20.72,12.22,强势放量突破
300766,每日互动,软件开发,字节跳动概念,字节跳动概念同池5只/热度60.5/领涨银信科技,4,3.89,-4.42,1.68,1.68,5.74,3.43,趋势放量异动
300016,北陆药业,化学制药,化学制药,化学制药同池38只/热度425.3/领涨迪哲医药-U,1,4.24,5.01,7.77,1.67,3.33,1.99,趋势放量异动
300049,福瑞医科,医疗器械,医疗器械,概念库未命中，回退到行业板块。,0,6.0,2.87,6.67,1.66,5.95,3.59,强势放量突破
002029,七 匹 狼,服装家纺,线上送礼物概念、海峡两岸,线上送礼物概念同池9只/热度69.8/领涨好想你；海峡两岸同池6只/热度52.8/领涨日上集团,3,4.28,3.62,6.97,1.66,2.57,1.54,趋势放量异动
300294,博雅生物,生物制品,生物制品,概念库未命中，回退到行业板块。,0,4.23,7.21,8.02,1.65,1.67,1.01,趋势放量异动
002891,中宠股份,饲料,宠物经济,宠物经济同池6只/热度67.4/领涨阳光诺和,1,9.98,5.68,6.55,1.65,2.76,1.67,强势放量突破
300685,艾德生物,医疗器械,医疗器械,概念库未命中，回退到行业板块。,0,3.69,6.6,8.03,1.64,2.6,1.58,趋势放量异动
603997,继峰股份,汽车零部件,汽车零部件,概念库未命中，回退到行业板块。,0,6.12,9.86,10.34,1.64,2.97,1.81,强势放量突破
603345,安井食品,食品加工,复苏消费概念,复苏消费概念同池21只/热度202.4/领涨新华百货,2,6.25,10.48,9.78,1.64,6.8,4.16,强势放量突破
002292,奥飞娱乐,文娱用品,服务消费概念,服务消费概念同池12只/热度77.2/领涨巨人网络,8,6.28,2.71,9.2,1.62,7.11,4.38,强势放量突破
